Latitude,Longitude,Sample_ID,Sample_Material_Eng,Sample_Material,Measuring_Institution..Eng.,Measuring_Institution,Pretreatment_Institution_Eng,Pretreatment_Institution_.only.if.different.from.AMS.Lab.,Measurement_Date,R_Combine_Note,Mismatch_Flag,BP,error,Period_New,Site_Code_Eng,Site_Code,Site_OG_Eng,Site_OG,Feature,FeatureType_Eng,Feature_Type,Excavating_Institution_Eng,Excavating_Institution,Year,Sub_Region,Total_Houses,median
37.763,127.394,SNU07-R018,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/05/16,,,1850,60,ProtoThree,Gapyeong Deokhyeon-ri,가평 덕현리,"The Deokhyeon-ri Site, Gapyeong",가평 덕현리 유적,C지구 1호,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,3,1761
37.763,127.394,SNU07-R019,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007/05/16,,,1910,60,ProtoThree,Gapyeong Deokhyeon-ri,가평 덕현리,"The Deokhyeon-ri Site, Gapyeong",가평 덕현리 유적,C지구 2호,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,3,1825
37.827,127.515,KGM-OWd180313,,,Korea Institute of Geoscience and Mineral Resources (KIGAM),한국지질자원연구원,,,,,,1990,30,ProtoThree,Gapyeong Eumnae-ri,가평 읍내리,Gapyeong Eupnae-ri 359-12,가평 읍내리 359-12번지,3호 주거지,Dwelling,주거지,Gukto Institute of Cultural Heritage,국토문화재연구원,2019,North Han River Basin,8,1924
37.8393,127.517,,Charcoal (wood charcoal),목탄,Korea Institute of Geoscience and Mineral Resources (KIGAM),한국지질자원연구원,Carbon Analysis Lab,㈜카본애널리스랩,,,,1920,24,ProtoThree,Gapyeong Eumnae-ri,가평 읍내리,Gapyeong Eupnae-ri 405,가평 읍내리 405번지,1호 주거지-1,Dwelling,주거지,Gyeonggang Institute of Cultural Heritage,경강문화재연구원(2021),2021,North Han River Basin,8,1836
37.786,126.425,KGM-OWd110630-1,Charcoal (wood charcoal),목탄,Korea Institute of Geoscience and Mineral Resources (KIGAM),한국지질자원연구원,,,2013/01/15,,1,2170,30,Bronze,Ganghwa Jangjeong-ri,강화 장정리,Gangwha Jangjung-ri,강화 장정리유적,A-4지점 2호,Dwelling,주거지,Jungwon Cultural Properties Institute,중원문화재연구원,2013,West Coast,12,2179
37.786,126.425,KGM-OWd110631-1,Charcoal (wood charcoal),목탄,Korea Institute of Geoscience and Mineral Resources (KIGAM),한국지질자원연구원,,,2013/01/15,,,2500,30,Bronze,Ganghwa Jangjeong-ri,강화 장정리,Gangwha Jangjung-ri,강화 장정리유적,A-4지점 4호,Dwelling,주거지,Jungwon Cultural Properties Institute,중원문화재연구원,2013,West Coast,12,2585
37.737,127.419,Beta-471283,Charcoal (wood charcoal),목탄,Beta Analytic,Beta Analytic Radiocarbon Dating Laboratory,,,,,,1720,30,ProtoThree,Gapyeong Cheongpyeong-ri,가평 청평리,Gapyeong Cheongpyeong-ri 709-5 Site,가평 청평리 709-5번지 유적,원삼국 4호 주거지,Dwelling,주거지,Seoul Institute of Cultural Heritage,서울문화유산연구원,2019,North Han River Basin,20,1606
37.604,126.844,ESCH190114,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2690,25,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 4호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2784
37.604,126.844,ESCH190116,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2703,24,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 10호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2801
37.604,126.844,ESCH190115,Charcoal,charcoal,Korea Institute of Science and Technology (KIST),한국과학기술연구원,,,2018.11.23.,,,2733,26,Bronze,Goyang Gangmae-dong,고양 강매동,Goyang Gangmae-dong Site,고양 강매동 유적,1지점 청동기시대 6호 주거지,Dwelling,주거지,Gyeore Institute of Cultural Heritage,겨레문화유산연구원,2020,Northern Gyeonggi,18,2817
